id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at,status_verified_at
7ccec974-a67a-434c-904d-f8dc310e88f7,lecture.dating,available,20.99,64.99,high,low,7,namesilo,,,24/09/2026 15:26
554d7487-ff47-4228-8ddb-a7718fd7e329,perfected.dating,available,23.99,,high,low,9,name.com,,,
9544487c-469f-41fe-adac-2027e64fd94a,incline.dating,available,23.99,,high,low,7,name.com,,,
8ad49d93-10e0-49f4-aee5-51c290ceb350,began.dating,available,23.99,,medium,low,5,name.com,,,
fcc77081-d751-4ed7-a27e-32ccf105cb5c,watch.dating,premium,242,242,high,low,5,namesilo,,,
6c5934a6-4f56-4971-a86c-f7fe9960cd89,anionic.dating,available,12.98,86.98,medium,low,7,namecheap,,,
9ebb1e83-29b4-45a0-a3dd-9f8a62e4e529,vibrate.dating,available,23.99,,high,low,7,name.com,,,
f960d381-d805-4489-993c-d08397e80f19,maintained.dating,available,23.99,,high,low,10,name.com,,,
1c0e5e91-826b-4e93-ae71-276087392d48,liii.dating,available,12.98,86.98,medium,low,4,namecheap,,,
c87633f2-c84e-4e79-9ec9-4448fa91e057,solvable.dating,available,23.99,,high,low,8,name.com,,,
a8824f6f-9197-4bdd-bd73-5a2bdf0bed1e,kansas.dating,premium,118.8,118.8,high,low,6,namesilo,,,
c604e610-b097-4a4d-99fe-bb58f6657abe,exalt.dating,available,12.98,86.98,high,low,5,namecheap,,,
b06e399c-d37e-4a5a-9f84-be80030fa13d,protest.dating,available,23.99,,high,low,7,name.com,,,
214a58e7-3533-41af-9d68-dfc7005d7284,orca.dating,available,23.99,,high,medium,4,name.com,,,
0f3fc855-fcaa-451d-95bd-f8b6efea44d4,longitude.dating,available,23.99,,high,low,9,name.com,,,
9c17726b-ef8e-4a53-ba88-6bd6aeb78cb6,miracle.dating,available,23.99,,high,low,7,name.com,,,
7a8432c5-7cbf-47d0-bc8a-e3a784834129,normandy.dating,available,23.99,,high,low,8,name.com,,,
27193004-28e1-4ac5-88c6-27e97ff6c90e,blackmailing.dating,available,23.99,,medium,low,12,name.com,,,
558170c1-e404-4ef8-9f0c-8165b3e9ae3d,adam.dating,available,,,high,low,4,,,,
b0dbd451-c91b-42d6-95b6-c8a8cf7030ba,livid.dating,available,12.98,86.98,medium,low,5,namecheap,,,07/08/2026 02:24
bab8915d-2a6b-42de-a0fa-8b794fd1cdff,whip.dating,available,23.99,,high,low,4,name.com,,,
e9fdabba-407c-4ec0-99b8-c65b3933de16,sneeze.dating,available,23.99,,high,low,6,name.com,,,
caac70f4-9eb0-4548-ba82-65d002a4176e,reversed.dating,available,23.99,,high,low,8,name.com,,,
4d20aa73-87ef-4e3f-92ec-aff35471f867,surprised.dating,available,23.99,,high,low,9,name.com,,,
0f5c612d-9305-4352-bf0b-1a100ed6c267,legislative.dating,available,23.99,,high,low,11,name.com,,,
ef8d8e9e-0199-4399-b14f-3e299bae9d5d,diploma.dating,available,23.99,,high,low,7,name.com,,,
30aedd07-de1e-45c8-bb87-a6e29875a357,travelled.dating,available,23.99,,high,low,9,name.com,,,
a948cf4e-33a2-434b-b844-f73f777e5430,seven.dating,available,,,high,low,5,,,,
7c4e10ba-854c-4ddc-8071-121cadfc3566,ham.dating,available,23.99,,high,low,3,name.com,,,
0c3ec653-0b7d-4527-bb73-5d804c9235e3,baritone.dating,available,12.98,86.98,medium,low,8,namecheap,,,08/08/2026 19:36
1be92fca-ae27-4076-b74d-4e215437bb1e,allergy.dating,available,23.99,,high,low,7,name.com,,,
03612494-f0ec-4110-8026-cd95d7838ad1,totality.dating,available,12.98,86.98,high,low,8,namecheap,,,
c730d974-2b04-4c13-863c-ce16aa29bc5b,apolitical.dating,available,12.98,86.98,high,low,10,namecheap,,,06/08/2026 02:02
67bdd791-0545-47fd-b04b-53075b27dbe5,hanger.dating,available,23.99,,high,low,6,name.com,,,
3a00f403-02bc-41d2-b0c2-019c4c09374e,marines.dating,available,23.99,,high,low,7,name.com,,,
f9c861ec-3e10-4382-b8f4-873a3ad8cd53,thirteenth.dating,available,12.98,86.98,high,low,10,namecheap,,,
82cd7975-cc1a-4969-b491-c07d960191b3,years.dating,available,23.99,,high,low,5,name.com,,,
3682d426-0b7e-40a1-9b00-2749734aaa5a,province.dating,available,23.99,,high,low,8,name.com,,,
5db81159-b134-49bf-881f-cd868c43c514,skype.dating,available,,,high,low,5,,,,
dfba027c-484f-43f9-a353-3f2571ec11fa,nearly.dating,available,23.99,,high,low,6,name.com,,,
e3a68594-f66a-4d44-b981-bad50ba7b911,ataxic.dating,available,12.98,86.98,medium,low,6,namecheap,,,07/08/2026 12:32
81961761-c1ea-4b7c-ac32-cac46e6fa4f5,outlet.dating,available,23.99,,high,low,6,name.com,,,
bbc556e5-cafb-4641-9129-a549c2fe7265,sauna.dating,available,23.99,,high,low,5,name.com,,,
098b472c-5fc0-4c52-8b39-53120b576bde,explorer.dating,available,23.99,,high,low,8,name.com,,,
836f85fe-d26a-4dc7-94a6-1e46eb9715d6,spend.dating,available,23.99,,high,low,5,name.com,,,
87d07e28-56d1-4c4a-8c97-a2a3c2bb70ea,anaclitic.dating,available,12.98,86.98,medium,low,9,namecheap,,,
22c472c9-1928-47e4-8b27-c8f988f4ec05,facilitating.dating,available,23.99,,medium,low,12,name.com,,,
13493785-9dbd-4240-b95a-cc7152f59c4b,consultant.dating,available,23.99,,high,low,10,name.com,,,
d3d50291-c246-4c5a-a798-b6c5a7af8783,apostolic.dating,available,12.98,86.98,high,low,9,namecheap,,,06/08/2026 04:04
8c7bb5fe-02a4-4055-bac6-213cf4bb6d52,shooting.dating,available,23.99,,high,low,8,name.com,,,
f0d019ae-fc85-45a4-bafb-d2faa394487a,getting.dating,available,23.99,,high,low,7,name.com,,,
f1043fd9-822f-4667-b810-169ae0347168,astatic.dating,available,12.98,86.98,medium,low,7,namecheap,,,07/08/2026 08:36
25c870f2-1ec7-458a-9c14-599ae2856a1e,rhianna.dating,available,23.99,,high,low,7,name.com,,,
6e013258-5c80-4982-81d2-8fb6fa5872e1,retain.dating,available,23.99,,high,low,6,name.com,,,
195c1ccb-f39e-4bd2-bcc7-739b3ceb7f71,advert.dating,available,23.99,,high,low,6,name.com,,,
f7e3e593-75d2-4aad-b894-e8d93df95f11,condo.dating,available,23.99,,high,low,5,name.com,,,
093e44fd-b54e-4a87-805f-53be16bf62d9,anthropic.dating,available,,,high,low,9,,,,
2ac48891-737d-4068-9449-f8b8e1f06677,cleverly.dating,available,23.99,,high,low,8,name.com,,,
215126ef-aa4d-4f58-b30f-f60f3d2702eb,leadership.dating,available,23.99,,high,low,10,name.com,,,
c8aa16c2-f9a0-43fe-bfd1-e628e8602a95,because.dating,available,23.99,,high,low,7,name.com,,,
d9eb011c-22b4-4b16-b77f-5e27acea0b31,whacky.dating,available,12.98,86.98,medium,low,6,namecheap,,,06/08/2026 21:32
7506703c-008a-41f4-a288-cf79be515f2d,unstoppable.dating,available,23.99,,high,low,11,name.com,,,
23ccc31d-9096-4164-99a0-3f145be68e52,bearded.dating,available,12.98,86.98,high,low,7,namecheap,,,08/08/2026 16:05
48704c4c-83a6-47f1-9214-ea417dd48fd7,boat.dating,available,23.99,,high,low,4,name.com,,,
ad4d27a3-3058-4c09-bc8d-0019dca87042,maidens.dating,available,23.99,,high,low,7,name.com,,,
f05f6b52-1689-4d52-8d41-a8234f2656ca,map.dating,available,23.99,,high,medium,3,name.com,,,
c37bef37-53c5-445d-a1e9-757d1856723b,choose.dating,available,23.99,,high,low,6,name.com,,,
5b0c5524-1a43-4588-9e5f-5116959526fd,receipts.dating,available,23.99,,high,low,8,name.com,,,
09d039c7-44c9-4e92-adf3-e90c29de24fd,crossroads.dating,available,23.99,,high,low,10,name.com,,,
91999f41-38f8-4186-84cf-07aa4c96c7e5,barebacked.dating,available,12.98,86.98,medium,low,10,namecheap,,,08/08/2026 18:44
f1ef9dcd-7e2e-4716-a640-2128ac413aa0,inconsistent.dating,available,23.99,,medium,low,12,name.com,,,
72ff48f8-e2af-4fb9-b9e5-aaf60f86b1cd,psychic.dating,available,23.99,,high,low,7,name.com,,,
bb464347-ca2d-45fe-865b-f740247683f2,memory.dating,available,23.99,,high,medium,6,name.com,,,
1f98bb91-7e0a-4445-bb7c-fcbc451b5e81,aloof.dating,available,12.98,86.98,medium,low,5,namecheap,,,
6dc2a1af-ae4f-4dc3-938f-2ed6dfb2807f,reception.dating,available,23.99,,high,low,9,name.com,,,
90d7335e-0b7e-4786-b2e5-b0fde5063745,lxxxii.dating,available,12.98,86.98,medium,low,6,namecheap,,,
f5e4f075-cd14-4add-8787-ae6e23b32665,recent.dating,available,23.99,,high,low,6,name.com,,,
bd38e49d-b80b-4481-bbd4-d2d8bb5882d8,briefly.dating,available,23.99,,high,low,7,name.com,,,
b0d24ac8-b534-40d3-bc63-bd347a66ea71,alaskan.dating,available,12.98,86.98,high,low,7,namecheap,,,
d04f97f3-876b-4f5e-bba0-bcbda880a78d,speak.dating,available,23.99,,high,low,5,name.com,,,
97991aa6-6fed-434a-a39c-5e99c91f1a1c,philip.dating,available,23.99,,high,low,6,name.com,,,
3f60c7ae-a907-4cf4-94cb-77441cde6d35,aboveboard.dating,available,12.98,86.98,high,low,10,namecheap,,,
59b5c44f-1c03-416e-ad1c-731ac355856d,profound.dating,available,23.99,,high,low,8,name.com,,,
0a5e253a-05e2-4f5b-93b2-75a0b9df0426,scatty.dating,available,12.98,86.98,medium,low,6,namecheap,,,
57408be4-37fb-4be0-8e33-be74f765596d,paperback.dating,available,23.99,,high,low,9,name.com,,,
698cd50c-a84e-48df-bbf2-a5a9a4470d0c,alarmed.dating,available,12.98,86.98,high,low,7,namecheap,,,
9bc8d286-d4af-4cc3-bbb9-6b54f632e5b6,appetising.dating,available,12.98,86.98,medium,low,10,namecheap,,,06/08/2026 06:50
916e3bdd-32e1-46d7-bcf9-3673c5aad5b9,heel.dating,available,23.99,,high,low,4,name.com,,,
a6a2398c-7e50-49bd-94e9-5c1c2c840c12,tilted.dating,available,,,high,low,6,,,,
b1347904-c24e-4fc6-b21a-9a87ab5aaf67,multiplayer.dating,available,23.99,,high,low,11,name.com,,,
a57259a2-1c6c-4a5d-8592-2167203cfc93,very.dating,available,23.99,,high,low,4,name.com,,,
8790c7a8-3027-4bd0-82d5-686e0dd57328,privileged.dating,available,23.99,,high,low,10,name.com,,,
22cd77c9-2257-40c0-ab1e-84c9e9e2a670,vii.dating,available,12.98,86.98,high,low,3,namecheap,,,
28b5cdfa-ba50-441e-b86e-907c8fd52aa6,alight.dating,available,12.98,86.98,high,low,6,namecheap,,,
bc5a96a2-36f1-4c90-a5b9-f33c983e8c8a,psyche.dating,available,23.99,,high,low,6,name.com,,,
da5e2d50-ce82-4a51-ac86-8ed73365ecb8,attachment.dating,available,23.99,,high,low,10,name.com,,,
70de2353-1e59-461d-b67c-d761c04aab15,archosaur.dating,available,12.98,86.98,medium,low,9,namecheap,,,06/08/2026 15:57
cc7b3d44-e7d7-4729-820d-5644cadc5c9a,ackack.dating,available,12.98,86.98,medium,low,7,namecheap,,,
1448f895-f80f-46b5-9aa8-5f0ee4e03f3b,wheezy.dating,available,12.98,86.98,medium,low,6,namecheap,,,07/08/2026 09:31
74575c51-c8b4-486b-9663-8295b1aebfe5,unlocking.dating,available,23.99,,high,low,9,name.com,,,
9665bb22-add0-4062-9d28-d8c2530d2cb5,sit.dating,available,23.99,,high,low,3,name.com,,,
5c403e9c-fd7c-4a7a-aa60-8f4449480edc,pretending.dating,available,23.99,,high,low,10,name.com,,,
d58279af-d49f-40b2-bc9f-19610d96a928,sift.dating,available,23.99,,high,low,4,name.com,,,
45279d8a-da1c-4e42-a2fe-45942c0726c1,conspiracy.dating,available,23.99,,high,low,10,name.com,,,
5e32b819-9990-4ad0-ae47-a8732ae81490,allogeneic.dating,available,12.98,86.98,medium,low,10,namecheap,,,
aa3ace8b-96a7-40b3-bc61-a170e55266bd,unacceptable.dating,available,23.99,,high,low,12,name.com,,,
dc484e5d-ec71-4176-9c42-b5a132af9fdc,usa.dating,premium,854,854,high,medium,3,namesilo,,,
3238a960-90bb-4fea-b7a4-f834a9595266,selfish.dating,available,23.99,,high,low,7,name.com,,,
f8caa01b-01a4-4c9d-a328-b9d2bbe35142,concluded.dating,available,12.98,86.98,high,low,9,namecheap,,,
400a41fb-3ca7-465a-8fdb-c572c73b0d7a,apropos.dating,available,,,high,low,7,,,,
379891e3-7379-487c-a515-f8af23b7615b,nitrous.dating,available,12.98,86.98,high,low,7,namecheap,,,08/08/2026 03:03
aa1bba4c-d60f-4be7-bf36-854563f02965,inviting.dating,available,23.99,,high,low,8,name.com,,,
0513338e-dad3-4289-801f-43efd2ab7a48,affixed.dating,available,12.98,86.98,high,low,7,namecheap,,,
a48a0954-0ef0-494d-94fb-d49a32542133,managing.dating,available,23.99,,high,low,8,name.com,,,
5bdd4a20-8bfb-455a-ac2f-eb07d672ef54,apical.dating,available,12.98,86.98,high,low,6,namecheap,,,05/08/2026 23:58
1113b689-9a55-43c6-8e2d-0c442dd48afd,andorran.dating,premium,78.54,78.54,high,low,8,namesilo,,,
b080078a-2c9d-4562-a5d4-39ecd82f87ba,consent.dating,available,12.98,86.98,high,low,7,namecheap,,,08/09/2026 13:17
b009442e-65df-4b89-9543-b585c6e6fa97,north.dating,available,23.99,,high,low,5,name.com,,,
88e1cfc6-b19a-495b-9138-d67a6a71b5b9,recondite.dating,available,12.98,86.98,medium,low,9,namecheap,,,
d2cd2f04-4898-4074-8afb-65e85a05bc05,plentiful.dating,available,23.99,,high,low,9,name.com,,,
19c78020-d6bf-4a3c-bab9-883e3800d376,reliability.dating,available,23.99,,high,low,11,name.com,,,
4a4b797d-6242-4577-832e-af9cc4f379da,notions.dating,available,23.99,,medium,low,7,name.com,,,
72bc0a2f-03c9-420f-a65e-eb038938fded,problem.dating,available,23.99,,high,low,7,name.com,,,
092b56d2-2681-4232-ad88-75f855b738e8,terrified.dating,available,23.99,,medium,low,9,name.com,,,
55f2a5ab-6a6d-4605-8fee-6401b54dddcc,ascendent.dating,available,12.98,86.98,medium,low,9,namecheap,,,
91e7136a-84f0-44ce-9dde-6c3592002129,brighten.dating,available,23.99,,high,low,8,name.com,,,
9f1f2f28-0c25-4ba5-8383-66251f94b70b,press.dating,available,23.99,,high,low,5,name.com,,,
4af53f65-5c57-4e92-8f16-69e21e64b030,newton.dating,available,23.99,,high,low,6,name.com,,,
d697c543-c3c7-48ee-b8f9-31c5352c0e36,premiere.dating,premium,118.8,118.8,high,low,8,namesilo,,,
66983e2a-15e6-4941-9f6e-bee5c8e81ab0,meantime.dating,available,23.99,,high,low,8,name.com,,,
75bb734f-6a3c-4a5f-a690-02d5f9be9002,oakland.dating,premium,118.8,118.8,high,low,7,namesilo,,,
faad3bf5-dbc2-4ad6-8698-b13642156078,protective.dating,available,23.99,,high,low,10,name.com,,,
3cf6001f-5945-47b6-8b22-bbda7913dfd2,respectful.dating,available,23.99,,high,low,10,name.com,,,
f53f06eb-2bf3-42bc-ab21-803e895bcb76,psychology.dating,available,23.99,,high,low,10,name.com,,,
8fbcd6bc-4578-43bd-9f2f-fe25a312266f,airtight.dating,available,12.98,86.98,high,low,8,namecheap,,,
79b8759e-b481-4a8c-a304-3c7528c39f21,commenting.dating,available,23.99,,high,low,10,name.com,,,
ad26bc0b-e423-416c-90ae-58c8b181fa33,medication.dating,available,23.99,,high,low,10,name.com,,,
7a28dfa3-a7ff-4a16-ba0e-558ae4ac7646,country.dating,premium,118.8,118.8,high,low,7,namesilo,,,
012b8049-90ed-4edf-b40f-a811100e2e5b,clustered.dating,available,12.98,86.98,high,low,9,namecheap,,,
b589740a-0a45-46d9-83a7-231d0a1e1f96,give.dating,available,23.99,,high,low,4,name.com,,,
f9fa3dd3-eb7c-4c3c-82ac-5d954d5907e1,dad.dating,premium,118.8,118.8,high,low,3,namesilo,,,
5492b620-62e3-431c-81ad-079c809f57a5,becoming.dating,available,12.98,86.98,high,low,8,namecheap,,,09/08/2026 06:08
